2023-11-22 15:31:23 0 [Note] Starting MariaDB 10.4.28-MariaDB source revision c8f2e9a5c0ac5905f28b050b7df5a9ffd914b7e7 as process 5848
2023-11-22 15:31:23 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-11-22 15:31:23 0 [Note] InnoDB: Uses event mutexes
2023-11-22 15:31:23 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2023-11-22 15:31:23 0 [Note] InnoDB: Number of pools: 1
2023-11-22 15:31:23 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=341] with future log sequence number 27197394
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=377] with future log sequence number 27197350
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=388] with future log sequence number 27197306
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=414] with future log sequence number 27197262
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=395] with future log sequence number 27197218
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=507] with future log sequence number 27197174
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=456] with future log sequence number 27197130
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=470] with future log sequence number 27180505
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=461] with future log sequence number 27180461
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=41, page number=3] with future log sequence number 27206727
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=352] with future log sequence number 27180417
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=33, page number=513] with future log sequence number 27208899
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=448] with future log sequence number 27180373
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=455] with future log sequence number 27180329
2023-11-22 15:31:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=506] with future log sequence number 27180285
